t,center,is_twin,core_edges,core_components,core_isolated_nodes,core_gc_size,core_gc_fraction,core_gc_spectral_gap,core_gc_entropy,t_mod_13,is_forbidden_13,dist_to_forbid_13,t_mod_17,is_forbidden_17,dist_to_forbid_17,t_mod_19,is_forbidden_19,dist_to_forbid_19,layer_hits_L1,layer_hits_L2,layer_hits_L3,layer_allow_L1,layer_allow_L2,layer_allow_L3
118756,3291916320,0,0,61,61,1,0.01639344262295082,0.0,0.0,1,0,2,11,0,1,6,0,5,0,0,0,1,1,1
65738,1822257360,0,0,61,61,1,0.01639344262295082,0.0,0.0,10,1,0,16,0,4,17,0,1,1,1,1,0,0,0
143373,3974299560,0,0,61,61,1,0.01639344262295082,0.0,0.0,9,0,1,12,1,0,18,1,0,0,1,1,1,0,0
34474,955619280,0,0,61,61,1,0.01639344262295082,0.0,0.0,11,0,1,15,0,3,8,0,7,0,0,0,1,1,1
75636,2096629920,0,0,61,61,1,0.01639344262295082,0.0,0.0,2,0,1,3,0,2,16,0,2,0,0,0,1,1,1
168759,4677999480,0,0,61,61,1,0.01639344262295082,0.0,0.0,6,0,3,0,0,5,1,1,0,0,0,1,1,1,0
18182,504005040,0,0,61,61,1,0.01639344262295082,0.0,0.0,8,0,2,9,0,3,18,1,0,0,0,1,1,1,0
175093,4853577960,0,0,61,61,1,0.01639344262295082,0.0,0.0,9,0,1,10,0,2,8,0,7,0,0,0,1,1,1
148112,4105664640,0,0,61,61,1,0.01639344262295082,0.0,0.0,3,1,0,8,0,3,7,0,6,1,1,1,0,0,0
18795,520997400,0,0,61,61,1,0.01639344262295082,0.0,0.0,10,1,0,10,0,2,4,0,3,1,1,1,0,0,0
5041,139736520,0,0,61,61,1,0.01639344262295082,0.0,0.0,10,1,0,9,0,3,6,0,5,1,1,1,0,0,0
152273,4221007560,0,0,61,61,1,0.01639344262295082,0.0,0.0,4,0,1,4,0,1,7,0,6,0,0,0,1,1,1
169675,4703391000,0,0,61,61,1,0.01639344262295082,0.0,0.0,12,0,2,15,0,3,5,0,4,0,0,0,1,1,1
24764,686458080,0,0,61,61,1,0.01639344262295082,0.0,0.0,12,0,2,12,1,0,7,0,6,0,1,1,1,0,0
97199,2694356280,0,0,61,61,1,0.01639344262295082,0.0,0.0,11,0,1,10,0,2,14,0,4,0,0,0,1,1,1
42936,1190185920,0,0,61,61,1,0.01639344262295082,0.0,0.0,10,1,0,11,0,1,15,0,3,1,1,1,0,0,0
187044,5184859680,0,0,61,61,1,0.01639344262295082,0.0,0.0,0,0,3,10,0,2,8,0,7,0,0,0,1,1,1
195571,5421228120,0,0,61,61,1,0.01639344262295082,0.0,0.0,12,0,2,3,0,2,4,0,3,0,0,0,1,1,1
121515,3368395800,0,0,61,61,1,0.01639344262295082,0.0,0.0,4,0,1,16,0,4,10,0,8,0,0,0,1,1,1
144934,4017570480,0,0,61,61,1,0.01639344262295082,0.0,0.0,10,1,0,9,0,3,2,0,1,1,1,1,0,0,0
113482,3145721040,0,0,61,61,1,0.01639344262295082,0.0,0.0,5,0,2,7,0,2,14,0,4,0,0,0,1,1,1
125657,3483212040,0,0,61,61,1,0.01639344262295082,0.0,0.0,12,0,2,10,0,2,10,0,8,0,0,0,1,1,1
15255,422868600,0,0,61,61,1,0.01639344262295082,0.0,0.0,6,0,3,6,0,1,17,0,1,0,0,0,1,1,1
14672,406707840,0,0,61,61,1,0.01639344262295082,0.0,0.0,8,0,2,1,0,4,4,0,3,0,0,0,1,1,1
63415,1757863800,0,0,61,61,1,0.01639344262295082,0.0,0.0,1,0,2,5,1,0,12,0,6,0,1,1,1,0,0
