win_start,q,count_observed,count_formula,ok_flag
1081,56,4,4,1
1081,59,4,4,1
1081,51,4,4,1
1081,45,4,4,1
1081,49,4,4,1
1081,54,4,4,1
1081,99,3,3,1
1081,91,3,3,1
1081,84,3,3,1
1081,78,3,3,1
1081,73,3,3,1
1141,23,10,10,1
1141,26,9,9,1
1141,22,9,9,1
1141,25,9,9,1
1141,24,9,9,1
1141,28,8,8,1
1141,27,8,8,1
1141,31,7,7,1
1141,32,7,7,1
1141,33,7,7,1
1141,34,7,7,1
1141,29,7,7,1
1141,30,7,7,1
1141,37,6,6,1
1141,41,6,6,1
1141,36,6,6,1
1141,35,6,6,1
1141,21,6,6,1
1141,40,6,6,1
1141,52,5,5,1
1141,44,5,5,1
1141,50,5,5,1
1141,46,5,5,1
1141,48,5,5,1
1141,43,5,5,1
1141,45,5,5,1
1141,39,5,5,1
1141,42,5,5,1
1141,38,5,5,1
1141,64,4,4,1
1141,55,4,4,1
1141,68,4,4,1
1141,61,4,4,1
1141,58,4,4,1
1141,53,4,4,1
1141,51,4,4,1
1141,47,4,4,1
1141,56,4,4,1
1141,49,4,4,1
1141,59,4,4,1
1141,54,4,4,1
1141,104,3,3,1
1141,88,3,3,1
1141,82,3,3,1
1141,96,3,3,1
1141,72,3,3,1
1141,77,3,3,1
1141,89,3,3,1
1141,20,3,3,1
1141,83,3,3,1
1201,24,9,9,1
1201,28,8,8,1
1201,27,8,8,1
1201,23,8,8,1
1201,26,8,8,1
1201,25,8,8,1
1201,31,7,7,1
1201,32,7,7,1
1201,29,7,7,1
1201,33,7,7,1
1201,30,7,7,1
1201,43,6,6,1
1201,39,6,6,1
1201,22,6,6,1
1201,38,6,6,1
1201,37,6,6,1
1201,36,6,6,1
1201,34,6,6,1
1201,35,6,6,1
1201,45,5,5,1
1201,42,5,5,1
1201,47,5,5,1
1201,41,5,5,1
1201,44,5,5,1
1201,40,5,5,1
1201,67,4,4,1
1201,71,4,4,1
1201,55,4,4,1
1201,64,4,4,1
1201,58,4,4,1
1201,53,4,4,1
1201,61,4,4,1
1201,51,4,4,1
1201,49,4,4,1
1201,56,4,4,1
1201,59,4,4,1
1201,54,4,4,1
1201,46,4,4,1
1201,52,4,4,1
1201,48,4,4,1
1201,50,4,4,1
1201,86,3,3,1
1201,93,3,3,1
1201,101,3,3,1
1201,81,3,3,1
1201,76,3,3,1
1201,87,3,3,1
1201,21,3,3,1
1201,94,3,3,1
1201,72,3,3,1
1261,25,9,9,1
1261,27,8,8,1
1261,24,8,8,1
1261,26,8,8,1
1261,29,8,8,1
1261,31,7,7,1
1261,32,7,7,1
1261,28,7,7,1
1261,30,7,7,1
1261,23,6,6,1
1261,41,6,6,1
1261,40,6,6,1
1261,33,6,6,1
1261,34,6,6,1
1261,37,6,6,1
1261,35,6,6,1
1261,36,6,6,1
1261,47,5,5,1
1261,49,5,5,1
1261,51,5,5,1
1261,44,5,5,1
1261,39,5,5,1
1261,46,5,5,1
1261,43,5,5,1
1261,38,5,5,1
1261,42,5,5,1
1261,55,4,4,1
1261,53,4,4,1
1261,67,4,4,1
1261,58,4,4,1
1261,64,4,4,1
1261,61,4,4,1
1261,56,4,4,1
1261,54,4,4,1
1261,48,4,4,1
1261,59,4,4,1
1261,52,4,4,1
1261,50,4,4,1
1261,45,4,4,1
1261,97,3,3,1
1261,79,3,3,1
1261,98,3,3,1
1261,91,3,3,1
1261,85,3,3,1
1261,75,3,3,1
1261,22,3,3,1
1261,71,3,3,1
1261,80,3,3,1
1261,92,3,3,1
1261,86,3,3,1
1321,27,9,9,1
1321,26,9,9,1
1321,25,8,8,1
1321,29,8,8,1
1321,28,8,8,1
1321,34,7,7,1
1321,35,7,7,1
1321,31,7,7,1
1321,32,7,7,1
1321,30,7,7,1
1321,39,6,6,1
1321,38,6,6,1
1321,37,6,6,1
1321,36,6,6,1
1321,33,6,6,1
1321,49,5,5,1
1321,53,5,5,1
1321,51,5,5,1
1321,43,5,5,1
1321,46,5,5,1
1321,48,5,5,1
1321,42,5,5,1
1321,24,5,5,1
1321,45,5,5,1
1321,41,5,5,1
1321,40,5,5,1
1321,44,5,5,1
1321,63,4,4,1
1321,70,4,4,1
1321,58,4,4,1
1321,61,4,4,1
1321,64,4,4,1
1321,56,4,4,1
1321,54,4,4,1
1321,50,4,4,1
1321,52,4,4,1
1321,59,4,4,1
1321,47,4,4,1
1321,57,4,4,1
1321,55,4,4,1
1321,102,3,3,1
1321,78,3,3,1
1321,83,3,3,1
1321,95,3,3,1
1321,74,3,3,1
1321,23,3,3,1
1321,89,3,3,1
1321,67,3,3,1
1321,79,3,3,1
1321,96,3,3,1
1381,29,8,8,1
1381,28,8,8,1
1381,27,8,8,1
1381,33,7,7,1
1381,34,7,7,1
1381,31,7,7,1
1381,26,7,7,1
1381,32,7,7,1
1381,30,7,7,1
1381,42,6,6,1
1381,41,6,6,1
1381,40,6,6,1
1381,35,6,6,1
1381,39,6,6,1
1381,36,6,6,1
1381,38,6,6,1
1381,37,6,6,1
1381,48,5,5,1
1381,45,5,5,1
1381,50,5,5,1
1381,25,5,5,1
1381,44,5,5,1
1381,47,5,5,1
1381,43,5,5,1
1381,66,4,4,1
1381,63,4,4,1
1381,58,4,4,1
1381,56,4,4,1
1381,61,4,4,1
1381,54,4,4,1
1381,52,4,4,1
1381,64,4,4,1
1381,59,4,4,1
1381,49,4,4,1
1381,57,4,4,1
1381,46,4,4,1
1381,51,4,4,1
1381,55,4,4,1
1381,53,4,4,1
1381,99,3,3,1
1381,77,3,3,1
1381,73,3,3,1
1381,87,3,3,1
1381,24,3,3,1
1381,82,3,3,1
1381,93,3,3,1
1381,100,3,3,1
1381,70,3,3,1
1381,78,3,3,1
1381,74,3,3,1
1441,29,8,8,1
1441,28,8,8,1
1441,33,7,7,1
1441,31,7,7,1
1441,27,7,7,1
1441,30,7,7,1
