n_start,t,n_top,peak_id,k_peak,k_peak_sub,peak_value
1000000,156,1000156,0,381,380.54648,0.00059176921
1000000,156,1000156,1,380,380,0.00058977627
1000000,156,1000156,2,432,432.01511,0.00062362277
1000000,157,1000157,0,381,380.54648,0.00059176921
1000000,157,1000157,1,380,380,0.00058977627
1000000,157,1000157,2,432,432.01511,0.00062362277
1000000,158,1000158,0,381,380.54648,0.00059176921
1000000,158,1000158,1,380,380,0.00058977627
1000000,158,1000158,2,432,432.01511,0.00062362277
1000000,159,1000159,0,381,380.54648,0.00059176921
1000000,159,1000159,1,380,380,0.00058977627
1000000,159,1000159,2,432,432.01511,0.00062362277
1000000,160,1000160,0,381,380.54648,0.00059176921
1000000,160,1000160,1,380,380,0.00058977627
1000000,160,1000160,2,432,432.01511,0.00062362277
1000000,161,1000161,0,336,335.55278,0.00059650471
1000000,161,1000161,1,335,335.44691,0.00059450579
1000000,161,1000161,2,432,432.01511,0.00062362277
1000000,162,1000162,0,336,335.55278,0.00059650471
1000000,162,1000162,1,335,335.44691,0.00059450579
1000000,162,1000162,2,432,432.01511,0.00062362277
1000000,163,1000163,0,336,335.55278,0.00059650471
1000000,163,1000163,1,334,333.52728,0.00063015815
1000000,163,1000163,2,432,432.01511,0.00062362277
1000000,164,1000164,0,336,335.55278,0.00059650471
1000000,164,1000164,1,334,333.52728,0.00063015815
1000000,164,1000164,2,432,432.01511,0.00062362277
1000000,165,1000165,0,336,335.55278,0.00059650471
1000000,165,1000165,1,334,333.52728,0.00063015815
1000000,165,1000165,2,432,432.01511,0.00062362277
1000000,166,1000166,0,336,335.55278,0.00059650471
1000000,166,1000166,1,334,333.52728,0.00063015815
1000000,166,1000166,2,432,432.01511,0.00062362277
1000000,167,1000167,0,336,335.55278,0.00059650471
1000000,167,1000167,1,334,333.52728,0.00063015815
1000000,167,1000167,2,432,432.01511,0.00062362277
1000000,168,1000168,0,336,335.55278,0.00059650471
1000000,168,1000168,1,334,333.52728,0.00063015815
1000000,168,1000168,2,432,432.01511,0.00062362277
1000000,169,1000169,0,336,335.55278,0.00059650471
1000000,169,1000169,1,334,333.52728,0.00063015815
1000000,169,1000169,2,432,432.01511,0.00062362277
1000000,170,1000170,0,336,335.55278,0.00059650471
1000000,170,1000170,1,334,333.52728,0.00063015815
1000000,170,1000170,2,432,432.01511,0.00062362277
1000000,171,1000171,0,336,335.55278,0.00059650471
1000000,171,1000171,1,334,333.52728,0.00063015815
1000000,171,1000171,2,432,432.01511,0.00062362277
1000000,172,1000172,0,336,335.55278,0.00059650471
1000000,172,1000172,1,334,333.52728,0.00063015815
1000000,172,1000172,2,432,432.01511,0.00062362277
1000000,173,1000173,0,336,335.55278,0.00059650471
1000000,173,1000173,1,334,333.52728,0.00063015815
1000000,173,1000173,2,432,432.01511,0.00062362277
1000000,174,1000174,0,336,335.55278,0.00059650471
1000000,174,1000174,1,334,333.52728,0.00063015815
1000000,174,1000174,2,432,432.01511,0.00062362277
1000000,175,1000175,0,336,335.55278,0.00059650471
1000000,175,1000175,1,334,333.52728,0.00063015815
1000000,175,1000175,2,432,432.01511,0.00062362277
1000000,176,1000176,0,336,335.55278,0.00059650471
1000000,176,1000176,1,334,333.52728,0.00063015815
1000000,176,1000176,2,432,432.01511,0.00062362277
1000000,177,1000177,0,336,335.55278,0.00059650471
1000000,177,1000177,1,334,333.52728,0.00063015815
1000000,177,1000177,2,432,432.01511,0.00062362277
1000000,178,1000178,0,336,335.55278,0.00059650471
1000000,178,1000178,1,334,333.52728,0.00063015815
1000000,178,1000178,2,432,432.01511,0.00062362277
1000000,179,1000179,0,336,335.55278,0.00059650471
1000000,179,1000179,1,334,333.52728,0.00063015815
1000000,179,1000179,2,432,432.01511,0.00062362277
1000000,180,1000180,0,336,335.55278,0.00059650471
1000000,180,1000180,1,334,333.52728,0.00063015815
1000000,180,1000180,2,432,432.01511,0.00062362277
1000000,181,1000181,0,336,335.55278,0.00059650471
1000000,181,1000181,1,334,333.52728,0.00063015815
1000000,181,1000181,2,438,438,0.00058430468
1000000,182,1000182,0,336,335.55278,0.00059650471
1000000,182,1000182,1,334,333.52728,0.00063015815
